,animal,session,trial,onset,first_lick_in,last_lick_out,water_valve_on,outcome,sound_num,reward,go_nogo,licks_out,quality,water_valve_amt
374,JUV011,211215,375,4958.790014,4958.870847,4964.517158,4966.811149,4966.811149,1,2,go,12,normal,2
375,JUV011,211215,376,4966.851482,4966.925986,4968.310976,4971.55613,4971.55613,4,2,go,15,normal,2
376,JUV011,211215,377,4971.567797,4971.725796,4973.097457,4975.596281,4975.596281,4,2,go,17,normal,2
377,JUV011,211215,378,4975.629614,4975.702447,4979.937097,,4985.188742,5,0,nogo,12,normal,
378,JUV011,211215,379,4987.343916,4987.343916,4998.531028,,5001.601677,8,-1,go,50,normal,
379,JUV011,211215,380,5001.730509,,5001.730509,,5018.951274,15,-1,go,1,missed,
380,JUV011,211215,381,5032.866391,5033.173217,,5033.175384,5033.175384,2,2,go,0,normal,2
381,JUV011,211215,382,5033.19455,5033.267217,5034.267879,,5040.463354,10,-1,go,7,missed,
382,JUV011,211215,383,5054.011967,5054.281299,,5054.283466,5054.283466,3,2,go,0,normal,2
383,JUV011,211215,384,5054.295132,5054.361632,5058.907614,5061.221938,5061.221938,2,2,go,13,normal,2
384,JUV011,211215,385,5061.262438,5061.328604,5065.523254,,5070.774733,6,0,nogo,11,normal,
385,JUV011,211215,386,5074.86855,,,,5078.118715,5,0,nogo,0,normal,
386,JUV011,211215,387,5081.849034,5082.124188,,5082.126354,5082.126354,2,2,go,0,normal,2
387,JUV011,211215,388,5082.167026,5082.247854,5086.281508,,5091.53315,5,0,nogo,14,normal,
388,JUV011,211215,389,5095.647634,,,,5098.649955,16,-1,go,0,missed,
